# Cross-layer reusable QML files (sorted by usage)
# format: <uses> | <ext_layer_count> | <file> | def:<layer> | ext:<comma-separated-layers>
  2 | 1 | ii/modules/common/widgets/StyledRadioButton.qml | def:modules/common | ext:modules/ii
  2 | 1 | ii/modules/common/widgets/VerticalButtonGroup.qml | def:modules/common | ext:modules/ii
  2 | 1 | ii/modules/common/widgets/widgetCanvas/AbstractWidget.qml | def:modules/common | ext:modules/ii
  2 | 1 | ii/modules/common/widgets/widgetCanvas/WidgetCanvas.qml | def:modules/common | ext:modules/ii
  2 | 1 | ii/modules/ii/cheatsheet/Cheatsheet.qml | def:modules/ii | ext:panelFamilies
  2 | 1 | ii/modules/ii/onScreenKeyboard/OnScreenKeyboard.qml | def:modules/ii | ext:panelFamilies
  2 | 1 | ii/modules/ii/overlay/Overlay.qml | def:modules/ii | ext:panelFamilies
  2 | 1 | ii/modules/ii/wallpaperSelector/WallpaperSelector.qml | def:modules/ii | ext:panelFamilies
  2 | 1 | ii/services/Booru.qml | def:services | ext:modules/ii
  2 | 1 | ii/services/HyprlandXkb.qml | def:services | ext:modules/ii
  2 | 1 | ii/services/KeyringStorage.qml | def:services | ext:modules/common
  2 | 1 | ii/services/Ydotool.qml | def:services | ext:modules/ii
  1 | 1 | ii/kdeConnect/KDEDrawer.qml | def:kdeConnect | ext:root
  1 | 1 | ii/killDialog.qml | def:root | ext:services
  1 | 1 | ii/lyricsLayer/LyricsWindow.qml | def:lyricsLayer | ext:root
  1 | 1 | ii/modules/common/functions/ObjectUtils.qml | def:modules/common | ext:services
  1 | 1 | ii/modules/common/models/FolderListModelWithHistory.qml | def:modules/common | ext:services
  1 | 1 | ii/modules/common/models/IndexModel.qml | def:modules/common | ext:modules/waffle
  1 | 1 | ii/modules/common/models/quickToggles/AudioToggle.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/AddressBar.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/CalendarView.qml | def:modules/common | ext:modules/waffle
  1 | 1 | ii/modules/common/widgets/CliphistImage.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/ConfigSlider.qml | def:modules/common | ext:root
  1 | 1 | ii/modules/common/widgets/DirectoryIcon.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/LightDarkPreferenceButton.qml | def:modules/common | ext:root
  1 | 1 | ii/modules/common/widgets/MaterialCookie.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/MenuButton.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/SelectionDialog.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/SineCookie.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/StyledBlurEffect.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/ThumbnailImage.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/WindowDialogParagraph.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/WindowDialogSectionHeader.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/WindowDialogSlider.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/shapes/example.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/common/widgets/widgetCanvas/AbstractOverlayWidget.qml | def:modules/common | ext:modules/ii
  1 | 1 | ii/modules/ii/background/Background.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/dock/Dock.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/dynamicIsland/DynamicIsland.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/lock/Lock.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/notificationPopup/NotificationPopup.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/onScreenDisplay/OnScreenDisplay.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/overview/AppDrawerWindow.qml | def:modules/ii | ext:root
  1 | 1 | ii/modules/ii/overview/Overview.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/polkit/Polkit.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/regionSelector/RegionSelector.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/screenCorners/ScreenCorners.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/sidebarLeft/SidebarLeft.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/sidebarRight/SidebarRight.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/sysmon/SystemMonitorWindow.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/ii/verticalBar/VerticalBar.qml | def:modules/ii | ext:panelFamilies
  1 | 1 | ii/modules/waffle/actionCenter/WaffleActionCenter.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/modules/waffle/background/WaffleBackground.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/modules/waffle/bar/WaffleBar.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/modules/waffle/lock/WaffleLock.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/modules/waffle/notificationCenter/WaffleNotificationCenter.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/modules/waffle/notificationPopup/WaffleNotificationPopup.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/modules/waffle/onScreenDisplay/WaffleOSD.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/modules/waffle/polkit/WafflePolkit.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/modules/waffle/screenSnip/WScreenSnip.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/modules/waffle/sessionScreen/WaffleSessionScreen.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/modules/waffle/startMenu/WaffleStartMenu.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/modules/waffle/taskView/WaffleTaskView.qml | def:modules/waffle | ext:panelFamilies
  1 | 1 | ii/musicLayer/MusicWindow.qml | def:musicLayer | ext:root
  1 | 1 | ii/notesLayer/NotesWindow.qml | def:notesLayer | ext:root
  1 | 1 | ii/panelFamilies/IllogicalImpulseFamily.qml | def:panelFamilies | ext:root
  1 | 1 | ii/panelFamilies/WaffleFamily.qml | def:panelFamilies | ext:root
  1 | 1 | ii/services/ConflictKiller.qml | def:services | ext:root
  1 | 1 | ii/services/FirstRunExperience.qml | def:services | ext:root
  1 | 1 | ii/services/HyprlandKeybinds.qml | def:services | ext:modules/ii
  1 | 1 | ii/services/LatexRenderer.qml | def:services | ext:modules/ii
  1 | 1 | ii/services/MusicService.qml | def:services | ext:musicLayer
  1 | 1 | ii/shell.qml | def:root | ext:services
  1 | 1 | ii/welcome.qml | def:root | ext:services
TOTAL: 226
